2020.01.11,00:00,485248,500715,477630,496098,2143
2020.01.18,00:00,495405,502100,491019,501869,2569
2020.01.25,00:00,501869,514797,499561,512489,4484
2020.02.01,00:00,512950,515490,502100,507179,2478
2020.02.08,00:00,507179,524954,506486,518375,3852
2020.02.15,00:00,518490,569393,517798,567662,3683
2020.02.22,00:00,568354,639457,568123,576896,2464
2020.02.29,00:00,578281,610831,554965,600905,3337
2020.03.07,00:00,601366,615679,367976,568124,9803
2020.03.14,00:00,568355,621681,561891,606675,6040
2020.03.21,00:00,606675,622835,597904,618218,7635
2020.03.28,00:00,617987,650076,615448,643843,12039
2020.04.04,00:00,640611,660464,632531,634608,45397
2020.04.11,00:00,634378,651922,623528,624682,106088
2020.04.18,00:00,624220,658386,589131,641765,82348
2020.04.25,00:00,641996,653307,628145,637840,82382
2020.05.02,00:00,638071,657001,630684,653538,59023
2020.05.09,00:00,652615,702248,651230,694168,94682
2020.05.16,00:00,696476,756036,689092,737799,39854
2020.05.23,00:00,738491,740107,693244,732027,67554
2020.05.30,00:00,732258,739645,711251,711713,70855
2020.06.06,00:00,712405,958031,704556,738260,68065
2020.06.13,00:00,737799,779583,732720,779352,54384
2020.06.20,00:00,779121,850685,777274,823675,82825
2020.06.27,00:00,824137,910706,818596,894546,69742
2020.07.04,00:00,892238,978807,884158,961493,63274
2020.07.11,00:00,961031,1152410,961031,1049909,31555
2020.07.18,00:00,1051290,1115240,914400,973959,27630
2020.07.25,00:00,973959,1104620,973959,1083840,22861
2020.08.01,00:00,1091920,1136940,1036060,1099311,24172
2020.08.08,00:00,1074148,1074380,1006510,1024997,17897
2020.08.15,00:00,1025210,1085230,993120,1038830,42845
2020.08.22,00:00,1041140,1076457,1028440,1073690,45701
2020.08.29,00:00,1097926,1127706,1078760,1086150,30533
2020.09.05,00:00,1097695,1159794,1092620,1152400,65067
2020.09.12,00:00,1163488,1254212,1158170,1223500,54263
2020.09.19,00:00,1212890,1262523,1189340,1254670,89356
2020.09.26,00:00,1254212,1359249,1247050,1348400,60407
2020.10.03,00:00,1347507,1389720,1290450,1377980,75100
2020.10.10,00:00,1394800,1513031,1390180,1504450,68113
2020.10.17,00:00,1485559,1513570,1175030,1314000,87430
2020.10.24,00:00,1320497,1322344,1226280,1240159,44720
2020.10.31,00:00,1211500,1408190,1110390,1125390,20600
2020.11.07,00:00,1132320,1284715,1117310,1225846,17627
2020.11.14,00:00,1221200,1235050,1122075,1168100,4896
2020.11.28,00:00,1122396,1133015,1118472,1121242,23244
2020.12.05,00:00,1133477,1185410,1101158,1130014,64611
2020.12.12,00:00,1132323,1160050,1101850,1139249,65659
2020.12.19,00:00,1138325,1154280,1124705,1149983,42737
2020.12.26,00:00,1146636,1155440,1136248,1150560,97374
2021.01.02,00:00,1150330,1213150,1149180,1159360,18793
2021.01.09,00:00,1138100,1138100,1038370,1046910,35418
2021.01.16,00:00,1026130,1058452,910707,1031673,29012
2021.01.23,00:00,1009970,1088460,1004200,1083383,27654
2021.01.30,00:00,1100000,1115700,1066070,1066070,23381
2021.02.06,00:00,1089620,1178493,1077610,1176180,56889
2021.02.13,00:00,1176650,1183110,1108571,1118470,67039
2021.02.20,00:00,1126091,1126550,1056143,1087790,70245
2021.02.27,00:00,1091232,1091950,1031900,1036520,26442
2021.03.06,00:00,1037670,1043450,997275,1040469,25948
2021.03.13,00:00,1049217,1103490,1038830,1103490,20702
2021.03.20,00:00,1102700,1105800,1075760,1079230,13777
2021.03.27,00:00,1080380,1108571,1074610,1079250,41801
2021.04.03,00:00,1058450,1072100,1042520,1055474,27469
2021.04.10,00:00,1053834,1054296,1030540,1050400,23709
2021.04.17,00:00,1050400,1050400,1001200,1010690,22542
2021.04.24,00:00,1004200,1016690,972135,974213,36560
2021.05.01,00:00,979962,979962,894316,948797,27848
2021.05.08,00:00,948357,1004220,913015,999123,27754
2021.05.15,00:00,995429,1055470,995000,1020384,46613
2021.05.22,00:00,1020360,1061910,1015740,1060784,57378
2021.05.29,00:00,1076920,1117549,1068864,1075300,76080
2021.06.05,00:00,1075070,1091460,1059630,1059630,16680
2021.06.12,00:00,1058475,1082484,1058245,1061938,4577
2021.06.19,00:00,1049241,1049703,1012535,1043470,4893
2021.06.26,00:00,1044162,1075534,1043931,1064454,4438
2021.07.03,00:00,1066993,1074380,1055220,1065402,1786
2021.07.10,00:00,1063530,1064684,1044600,1057759,1852
2021.07.17,00:00,1057528,1058913,1041599,1053834,1118
2021.07.24,00:00,1054527,1123115,1054065,1112496,2482
2021.07.31,00:00,1106955,1125424,1075070,1075300,4477
2021.08.07,00:00,1070220,1112930,1070220,1109230,4223
2021.08.14,00:00,1115470,1162560,1114310,1161640,2363
2021.08.21,00:00,1160940,1190490,1150330,1187720,5099
2021.08.28,00:00,1203650,1204580,1152170,1163480,5614
2021.09.04,00:00,1164410,1182410,1159100,1179180,5185
2021.09.11,00:00,1175030,1177570,1136010,1145250,6772
2021.09.18,00:00,1141353,1159790,1127010,1142940,5668
2021.09.25,00:00,1145710,1169490,1138320,1166950,5660
2021.10.02,00:00,1168100,1169020,1153100,1153100,4799
2021.10.09,00:00,1156330,1156330,1119160,1142276,8147
2021.10.16,00:00,1141780,1160710,1129550,1157250,7793
2021.10.23,00:00,1159790,1175950,1158400,1165100,6908
2021.10.30,00:00,1163250,1187755,1161870,1187260,7235
2021.11.06,00:00,1192110,1267370,1189570,1265290,9252
2021.11.13,00:00,1268750,1281220,1238976,1240590,8047
2021.11.20,00:00,1231820,1265060,1227203,1259750,13854
2021.11.27,00:00,1260670,1281450,1249360,1279600,15935
2021.12.04,00:00,1292990,1328310,1292990,1315380,17934
2021.12.11,00:00,1315610,1315610,1275680,1299220,16254
2021.12.18,00:00,1297840,1310070,1278450,1298760,9904
2021.12.25,00:00,1297150,1306840,1283060,1301070,8755
2022.01.01,00:00,1298070,1302920,1255360,1255820,12000
2022.01.08,00:00,1255130,1260210,1168100,1220270,21427
2022.01.15,00:00,1205730,1226740,1177570,1209190,17559
2022.01.22,00:00,1215660,1253520,1207580,1232050,16836
2022.01.29,00:00,1245670,1245900,1204810,1208730,13690
2022.02.05,00:00,1197650,1197880,1152170,1176870,17569
2022.02.12,00:00,1193030,1220970,1180570,1183110,13033
2022.02.19,00:00,1186800,1232510,1168790,1203190,13563
2022.02.26,00:00,1204810,1210580,1190490,1202960,8475
2022.03.05,00:00,1207110,1254934,1191420,1227200,6376
2022.03.12,00:00,1232050,1243649,1215660,1229561,2386
2022.03.19,00:00,1233256,1239492,1223740,1239261,260
2022.03.26,00:00,1239492,1259980,1234820,1258820,1185
2022.04.02,00:00,1253980,1296450,1248210,1288600,3559
2022.04.09,00:00,1294840,1333160,1292990,1303150,5547
2022.04.16,00:00,1301990,1327160,1292990,1299450,4753
2022.04.23,00:00,1298760,1301530,1274520,1295300,4534
2022.04.30,00:00,1291370,1308460,1286760,1306150,4687
2022.05.07,00:00,1311920,1399410,1308460,1371020,11335
2022.05.14,00:00,1371480,1383950,1346090,1357400,13864
